Date,Month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,high_tide_time_1,htl1,high_tide_time_2,htl2,low_tide_time_1,ltl1,low_tide_time_2,ltl2
5,3,1.9,2.3,3.0,3.4,3.7,3.8,3.8,3.4,2.9,2.3,1.8,1.3,1.1,1.5,2.3,3.0,3.5,3.8,3.9,3.8,3.5,3.1,2.7,2.2,18:11,3.9,05:15,3.8,,,11:48,1.1
6,3,1.8,1.9,2.4,3.1,3.5,3.8,3.9,3.7,3.3,2.8,2.3,1.8,1.4,1.5,2.1,2.8,3.4,3.7,3.9,3.9,3.6,3.2,2.8,2.3,06:00,3.9,18:28,3.9,00:20,1.8,12:21,1.4
7,3,1.8,1.7,2.0,2.6,3.2,3.6,3.8,3.8,3.6,3.1,2.6,2.2,1.8,1.7,2.0,2.7,3.3,3.7,3.8,3.8,3.7,3.3,2.8,2.4,07:00,3.8,19:00,3.8,00:53,1.7,12:49,1.7
8,3,1.9,1.6,1.7,2.1,2.7,3.2,3.6,3.7,3.7,3.3,2.9,2.5,2.2,2.0,2.1,2.6,3.1,3.6,3.8,3.8,3.7,3.3,2.9,2.4,19:00,3.8,07:14,3.7,13:13,2.0,01:24,1.6
9,3,2.0,1.7,1.5,1.8,2.3,2.8,3.2,3.5,3.6,3.4,3.1,2.7,2.5,2.3,2.3,2.5,3.0,3.5,3.7,3.8,3.7,3.4,3.0,2.5,19:00,3.8,08:00,3.6,13:34,2.2,01:55,1.5
10,3,2.1,1.8,1.5,1.6,1.9,2.4,2.8,3.1,3.4,3.4,3.2,2.9,2.7,2.5,2.5,2.6,2.9,3.3,3.6,3.7,3.6,3.4,3.0,2.6,19:01,3.7,09:00,3.4,13:57,2.5,02:27,1.5
11,3,2.2,1.9,1.6,1.5,1.6,1.9,2.3,2.7,3.0,3.2,3.2,3.0,2.9,2.8,2.7,2.7,2.9,3.2,3.5,3.6,3.5,3.4,3.1,2.7,19:10,3.6,10:00,3.2,14:25,2.7,03:06,1.5
12,3,2.4,2.1,1.8,1.6,1.5,1.6,1.9,2.2,2.5,2.8,3.0,3.0,3.0,3.0,3.0,2.9,3.0,3.1,3.3,3.4,3.4,3.3,3.1,2.9,19:15,3.4,11:00,3.0,15:00,2.9,03:55,1.5
13,3,2.6,2.3,2.1,1.8,1.6,1.5,1.6,1.8,2.0,2.4,2.7,2.9,3.0,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.0,19:05,3.2,,,,,05:00,1.5
14,3,2.8,2.6,2.4,2.2,1.9,1.6,1.5,1.5,1.6,1.9,2.3,2.7,2.9,3.1,3.3,3.4,3.4,3.2,3.2,3.1,3.0,3.0,3.0,3.0,15:11,3.4,,,,,06:23,1.5
15,3,2.9,2.8,2.7,2.5,2.2,1.9,1.6,1.4,1.3,1.5,1.9,2.3,2.8,3.1,3.3,3.5,3.5,3.4,3.2,3.0,2.9,2.8,2.8,2.9,16:00,3.5,,,21:16,2.8,07:42,1.3
16,3,3.0,3.0,3.0,2.9,2.6,2.3,1.8,1.5,1.3,1.2,1.5,2.0,2.5,3.0,3.3,3.6,3.7,3.6,3.4,3.1,2.8,2.6,2.6,2.7,16:03,3.7,00:27,3.0,21:40,2.5,08:37,1.2
17,3,3.0,3.2,3.2,3.2,3.1,2.7,2.3,1.8,1.4,1.2,1.2,1.6,2.3,2.8,3.2,3.5,3.7,3.7,3.5,3.2,2.9,2.5,2.3,2.4,16:27,3.7,02:19,3.2,22:10,2.3,09:24,1.1
18,3,2.8,3.2,3.4,3.4,3.4,3.2,2.8,2.3,1.8,1.4,1.2,1.3,1.9,2.6,3.1,3.5,3.7,3.7,3.6,3.3,3.0,2.6,2.2,2.1,17:00,3.7,03:20,3.5,22:44,2.1,10:07,1.2
19,3,2.4,3.0,3.4,3.6,3.7,3.6,3.3,2.8,2.3,1.8,1.4,1.2,1.6,2.4,3.0,3.4,3.6,3.8,3.7,3.4,3.0,2.6,2.2,1.8,17:11,3.8,04:09,3.7,23:20,1.8,10:48,1.2
20,3,1.9,2.5,3.2,3.6,3.8,3.9,3.7,3.3,2.8,2.3,1.8,1.4,1.4,2.0,2.8,3.4,3.7,3.8,3.8,3.5,3.1,2.7,2.2,1.8,05:00,3.9,17:27,3.8,23:57,1.5,11:29,1.4
21,3,1.5,1.9,2.6,3.4,3.8,4.0,4.0,3.8,3.3,2.8,2.3,1.8,1.5,1.8,2.5,3.3,3.7,3.8,3.8,3.7,3.3,2.8,2.3,1.8,06:00,4.0,17:23,3.8,12:08,1.5,,
22,3,1.4,1.3,1.9,2.8,3.5,3.9,4.0,4.0,3.8,3.2,2.7,2.3,1.9,1.8,2.2,2.9,3.6,3.9,3.9,3.8,3.4,2.9,2.4,1.9,07:00,4.0,17:26,3.9,12:48,1.8,00:36,1.3
23,3,1.4,1.1,1.3,2.0,2.8,3.5,3.8,4.0,4.0,3.6,3.2,2.7,2.4,2.1,2.1,2.6,3.3,3.8,3.9,3.8,3.6,3.2,2.6,2.1,07:22,4.0,18:00,3.9,13:28,2.0,01:16,1.1
24,3,1.6,1.2,1.0,1.2,2.0,2.8,3.4,3.7,3.9,3.8,3.5,3.1,2.8,2.5,2.3,2.5,3.0,3.5,3.9,3.9,3.7,3.4,2.9,2.3,08:14,3.9,19:00,3.9,14:10,2.3,02:00,1.0
25,3,1.8,1.4,1.1,0.9,1.3,1.9,2.6,3.2,3.5,3.7,3.6,3.4,3.1,2.9,2.7,2.6,2.7,3.1,3.6,3.7,3.7,3.5,3.1,2.7,09:12,3.7,19:14,3.7,14:59,2.6,02:49,0.9
26,3,2.2,1.8,1.4,1.0,1.0,1.2,1.8,2.4,2.9,3.3,3.4,3.4,3.3,3.2,3.1,2.9,2.8,2.9,3.1,3.4,3.5,3.5,3.3,3.0,10:27,3.5,20:13,3.5,16:07,2.8,03:46,0.9
27,3,2.6,2.2,1.8,1.4,1.1,1.0,1.1,1.6,2.2,2.7,3.1,3.3,3.4,3.4,3.4,3.3,3.1,2.9,2.9,2.9,3.1,3.3,3.3,3.1,13:00,3.4,22:00,3.3,17:52,2.9,04:56,1.0
28,3,2.9,2.7,2.4,2.0,1.5,1.2,0.9,1.0,1.4,2.0,2.6,3.0,3.3,3.5,3.6,3.5,3.4,3.1,2.8,2.6,2.6,2.8,3.1,3.2,14:08,3.6,23:17,3.2,19:31,2.6,06:16,0.9
29,3,3.1,3.1,2.9,2.6,1.0,1.6,1.2,0.9,0.9,1.3,2.0,2.6,3.1,3.4,3.7,3.8,3.6,3.3,3.0,2.6,2.3,2.3,2.6,3.0,15:00,3.8,,,20:30,2.3,07:29,0.9
30,3,3.2,3.3,3.3,3.1,2.8,2.2,1.7,1.2,0.9,0.9,1.4,2.1,2.7,3.2,3.6,3.8,3.8,3.6,3.2,2.8,2.3,2.0,2.1,2.5,15:25,3.9,02:00,3.3,21:17,2.0,08:28,0.8
31,3,3.0,3.3,3.4,3.5,3.3,2.9,1.3,1.8,1.2,0.9,1.0,1.6,2.4,3.0,3.5,3.8,3.9,3.7,3.4,2.9,2.4,1.9,1.7,2.0,16:00,3.9,03:00,3.5,21:59,1.7,09:18,0.9
1,4,2.6,3.1,3.4,3.6,3.7,3.4,2.9,2.3,1.8,1.3,1.1,1.3,2.0,2.8,3.3,3.7,3.9,3.9,3.6,3.1,2.6,2.1,1.6,1.6,16:25,3.9,04:00,3.7,22:38,1.5,10:00,1.1
2,4,2.0,2.7,3.3,3.6,3.8,3.7,3.4,2.9,2.4,1.9,1.4,1.3,1.8,2.5,3.2,3.6,3.8,3.9,3.7,3.3,2.8,2.3,1.8,1.4,17:00,3.9,04:21,3.8,23:15,1.4,10:43,1.3
3,4,1.6,2.2,2.9,3.4,3.7,3.8,3.7,3.3,2.8,2.4,1.9,1.6,1.7,2.3,3.0,3.5,3.8,3.8,3.7,3.4,2.9,2.4,1.9,1.5,05:00,3.8,17:00,3.8,11:19,1.6,23:50,1.3
4,4,1.3,1.7,2.4,3.1,3.5,3.8,3.8,3.6,3.2,2.8,2.4,2.0,1.9,2.2,2.8,3.4,3.7,3.8,3.7,3.5,3.0,2.5,2.1,1.6,06:00,3.8,17:04,3.8,11:52,1.9,,
5,4,1.3,1.3,1.9,2.6,3.2,3.6,3.8,3.7,3.5,3.1,2.7,2.4,2.2,2.2,2.7,3.3,3.7,3.8,3.7,3.5,3.1,2.6,2.1,1.7,06:24,3.8,17:04,3.8,12:20,2.2,00:22,1.2
6,4,1.3,1.2,1.5,2.1,2.8,3.3,3.6,3.7,3.6,3.3,2.9,2.6,2.4,2.4,2.6,3.1,3.6,3.8,3.7,3.5,3.2,2.7,2.2,1.8,17:15,3.8,07:04,3.7,12:45,2.4,00:52,1.2
7,4,1.4,1.2,1.2,1.7,2.3,2.9,3.3,3.5,3.6,3.4,3.1,2.8,2.6,2.5,2.6,3.0,3.4,3.7,3.7,3.5,3.3,2.8,2.3,1.9,18:00,3.7,08:00,3.6,13:10,2.5,01:21,1.1
8,4,1.5,1.2,1.1,1.3,1.9,2.4,2.9,3.2,3.4,3.4,3.2,3.0,2.8,2.7,2.7,2.9,3.2,3.5,3.6,3.5,3.2,2.9,2.5,2.0,18:00,3.6,09:00,3.4,13:40,2.7,01:53,1.1
9,4,1.7,1.4,1.2,1.2,1.5,2.0,2.4,2.8,3.0,3.2,3.2,3.1,3.0,2.9,2.9,2.9,3.1,3.3,3.4,3.4,3.2,2.9,2.6,2.2,18:05,3.4,09:24,3.2,14:21,2.9,02:31,1.2
10,4,1.9,1.6,1.4,1.3,1.3,1.6,2.0,2.3,2.6,2.9,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.1,3.2,3.2,3.1,2.9,2.7,2.4,11:00,3.1,,,,,03:19,1.2
11,4,2.2,1.9,1.7,1.5,1.3,1.4,1.6,1.9,2.2,2.5,2.8,3.0,3.1,3.2,3.3,3.2,3.1,3.0,3.0,3.0,2.9,2.8,2.7,2.6,14:05,3.3,,,,,04:20,1.3
12,4,2.4,2.3,2.1,1.9,1.6,1.4,1.4,1.5,1.8,2.2,2.5,2.9,3.1,3.3,3.4,3.4,3.3,3.1,2.9,2.8,2.7,2.7,2.7,2.7,15:00,3.4,,,,,05:33,1.4
13,4,2.7,2.6,2.5,2.3,2.0,1.7,1.4,1.4,1.5,1.8,2.2,2.7,3.0,3.3,3.5,3.5,3.4,3.2,2.9,2.6,2.4,2.4,2.5,2.7,15:00,3.5,,,20:41,2.4,06:53,1.4
14,4,2.8,2.9,2.9,2.8,2.5,2.1,1.8,1.5,1.4,1.5,1.9,2.4,2.9,3.2,3.5,3.6,3.6,3.3,3.0,2.6,2.3,2.1,2.2,2.5,15:16,3.6,02:00,2.9,21:06,2.1,07:59,1.4
15,4,2.9,3.1,3.2,3.2,3.1,2.7,2.2,1.8,1.5,1.4,1.6,2.2,2.7,3.2,3.4,3.6,3.6,3.4,3.1,2.7,2.2,1.9,1.8,2.2,16:00,3.6,03:00,3.2,21:39,1.8,08:51,1.4
